message;light;uvIndex;tempCanSat;tempMPU;tempExternal;tempSCD30;ambientTemp;objectTemp;humCanSat;humExternal;humSCD30;pressCanSat;pressExternal;altCanSat;altExternal;accX;accY;accZ;rotX;rotY;rotZ;magX;magY;magZ;latInt;lonInt;latAfterDot;lonAfterDot;co2SCD30;co2CCS811;tvoc;o2Con;a;b;c;d;e;f;g;h;i;j;k;l;r;s;t;u;v;w;numberOfSatellites;RSSI
191;6840;0.00;35.48;34.28;31.57;32.50;30.71;31.07;45.65;49.21;58.12;1025.40;1022.30;-100.68;-75.05;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;0;400;0;15.60;8.99;16.38;126.38;75.98;12.72;4.37;2.21;3.18;1.80;1.77;1.13;3.20;0.00;0;-107
192;6840;0.00;35.48;34.28;31.57;32.50;30.71;31.07;45.65;49.21;58.12;1025.40;1022.30;-100.68;-75.05;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;0;400;0;15.60;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-102
193;693;0.00;35.59;34.28;31.58;32.50;30.67;31.57;44.74;48.91;58.12;1025.39;1022.28;-100.56;-74.93;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;4;400;0;15.60;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-103
194;25;0.00;35.60;34.28;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;4;411;0;15.60;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-102
195;25;0.00;35.60;34.27;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;4;411;1;15.28;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-103
197;25;0.00;35.60;34.27;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;0.10;-0.74;-9.29;4.86;-2.90;-12.69;61.85;-111.48;48.89;0;0;0;0;4;411;1;15.28;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-98
198;25;0.00;35.60;34.27;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;0.23;-0.85;-9.23;1.59;0.48;-9.36;62.57;-112.21;47.50;0;0;0;0;4;411;1;15.28;10.99;18.30;124.51;75.03;12.72;5.09;2.76;4.76;2.25;2.21;1.13;4.27;0.00;0;-101
199;25;0.00;35.60;34.27;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;0.23;-0.85;-9.23;1.59;0.48;-9.36;62.57;-112.21;47.50;0;0;0;0;4;411;1;15.28;11.99;19.27;131.06;79.78;14.31;5.82;3.31;5.29;2.25;2.65;2.26;5.34;0.00;0;-34
200;25;0.00;35.60;34.27;31.58;32.50;30.73;31.13;44.70;48.88;58.12;1025.43;1022.30;-100.92;-75.59;0.23;-0.85;-9.23;1.59;0.48;-9.36;62.57;-112.21;47.50;0;0;0;0;4;411;1;15.28;12.99;19.27;129.19;78.83;15.11;5.82;2.76;5.29;2.25;2.65;2.26;5.34;0.00;0;-100
201;4052;0.00;35.69;34.27;31.58;32.50;30.65;30.63;43.91;48.55;58.12;1025.29;1022.31;-99.75;-75.15;0.23;-0.85;-9.23;1.59;0.48;-9.36;62.57;-112.21;47.50;0;0;0;0;0;413;1;15.28;12.99;19.27;129.19;78.83;15.11;5.82;2.76;5.29;2.25;2.65;2.26;5.34;0.00;0;-102
